ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq,,,,,,
15704,157/04,157/04, 2 106,  930,  930,,,,,,
15705S,157/05-07 and 157/24,157/05-07 及 157/24, 5 029, 1 275, 1 275,,,,,,
15708,157/08,157/08, 1 524,  494,  494,,,,,,
15709,157/09,157/09, 1 642,  534,  534,,,,,,
15710S,157/10 and 157/14,157/10 及 157/14,  904,  472,  472,,,,,,
15711,157/11,157/11, 1 757,  512,  523,,,,,,
15712S,157/12-13,157/12-13, 4 789, 1 759, 1 769,,,,,,
15715,157/15,157/15, 1 903,  647,  647,,,,,,
15716,157/16,157/16, 6 830, 2 342, 2 351,,,,,,
15717,157/17,157/17,  520,  177,  177,,,,,,
15718,157/18,157/18, 3 654, 1 267, 1 277,,,,,,
15719,157/19,157/19, 4 185, 1 343, 1 343,,,,,,
15720,157/20,157/20, 4 671, 1 581, 1 581,,,,,,
15721,157/21,157/21, 4 401, 1 504, 1 534,,,,,,
15722,157/22,157/22, 1 625,  586,  577,,,,,,
15723,157/23,157/23, 3 494, 1 006, 1 015,,,,,,
16101,161/01,161/01, 5 347, 2 312, 2 300,,,,,,
16102,161/02,161/02, 2 670,  693,  693,,,,,,
16103,161/03,161/03,  476,  145,  145,,,,,,
16104,161/04,161/04,  915,  453,  429,,,,,,
16105S,161/05-06 and 161/61,161/05-06 及 161/61,  651,  286,  286,,,,,,
16107S,161/07-08,161/07-08, 1 184,  386,  386,,,,,,
16109S,161/09 and 161/62,161/09 及 161/62, 1 331,  523,  523,,,,,,
16110,161/10,161/10, 1 092,  344,  344,,,,,,
16111,161/11,161/11, 1 272,  486,  486,,,,,,
16113,161/13,161/13, 1 146,  496,  496,,,,,,
16114,161/14,161/14,  534,  214,  225,,,,,,
16115,161/15,161/15,  932,  322,  322,,,,,,
16116S,161/16 and 161/90,161/16 及 161/90,  435,  171,  171,,,,,,
16117,161/17,161/17, 1 024,  347,  347,,,,,,
16118,161/18,161/18, 4 580, 1 555, 1 555,,,,,,
16120S,161/20-23,161/20-23, 1 181,  441,  441,,,,,,
16124,161/24,161/24,  547,  247,  247,,,,,,
16125,161/25,161/25,  526,  198,  208,,,,,,
16126,161/26,161/26, 1 284,  536,  536,,,,,,
16127S,161/27 and 161/40,161/27 及 161/40,  411,  153,  147,,,,,,
16128,161/28,161/28,  828,  348,  348,,,,,,
16129,161/29,161/29, 1 758,  460,  465,,,,,,
16130,161/30,161/30, 1 443,  487,  497,,,,,,
16131S,161/31-32 and 161/34,161/31-32 及 161/34,  547,  197,  197,,,,,,
16135S,161/35-36,161/35-36,  925,  322,  322,,,,,,
16137S,161/37-38,161/37-38,  985,  414,  414,,,,,,
16141S,161/41-42,161/41-42,  403,  201,  201,,,,,,
16143,161/43,161/43,  694,  119,  129,,,,,,
16144,161/44,161/44,  913,  416,  416,,,,,,
16145,161/45,161/45, 1 974,  765,  765,,,,,,
16146,161/46,161/46, 2 526,  952,  952,,,,,,
16148S,161/48-49,161/48-49,  698,  302,  302,,,,,,
16150,161/50,161/50, 2 895, 1 020, 1 020,,,,,,
16151,161/51,161/51, 5 838, 2 227, 2 227,,,,,,
16152S,161/52-54 and 161/67-74,161/52-54 及 161/67-74,  725,  227,  227,,,,,,
16155S,161/55 and 161/75,161/55 及 161/75,  553,  221,  229,,,,,,
16159S,161/59-60,161/59-60, 2 265,  784,  775,,,,,,
16163,161/63,161/63, 2 123,  724,  735,,,,,,
